#a1 a2 eps sig(A)
B0cGg B0uT3 1.7 3.6
B0cGc B0uT3 1.7 3.6
B0cGt B0uT3 1.7 3.6
B0tGa B0uT3 1.7 3.6
B0tGu B0uT3 1.7 3.6
B0tGg B0uT3 1.7 3.6
B0tGc B0uT3 1.7 3.6
B0tGt B0uT3 1.7 3.6
B05Ga B0gTa 1.7 3.6
B05Gu B0gTa 1.7 3.6
B05Gg B0gTa 1.7 3.6
B05Gc B0gTa 1.7 3.6
B05Gt B0gTa 1.7 3.6
B05G3 B0gTa 1.7 3.6
B0aGa B0gTa 1.7 3.6
B0aGu B0gTa 1.7 3.6
B0aGg B0gTa 1.7 3.6
B0aGc B0gTa 1.7 3.6
B0aGt B0gTa 1.7 3.6
B0aG3 B0gTa 1.7 3.6
B0gTa B0uGa 1.7 3.6
B0gTa B0uGu 1.7 3.6
B0gTa B0uGg 1.7 3.6
B0gTa B0uGc 1.7 3.6
B0gTa B0uGt 1.7 3.6
B0gTa B0uG3 1.7 3.6
B0gGa B0gTa 1.7 3.6
B0gGu B0gTa 1.7 3.6
B0gGg B0gTa 1.7 3.6
B0gGc B0gTa 1.7 3.6
B0gGt B0gTa 1.7 3.6
B0gG3 B0gTa 1.7 3.6
B0cGa B0gTa 1.7 3.6
B0cGu B0gTa 1.7 3.6
B0cGg B0gTa 1.7 3.6
B0cGc B0gTa 1.7 3.6
B0cGt B0gTa 1.7 3.6
B0cG3 B0gTa 1.7 3.6
B0gTa B0tGa 1.7 3.6
B0gTa B0tGu 1.7 3.6
B0gTa B0tGg 1.7 3.6
B0gTa B0tGc 1.7 3.6
B0gTa B0tGt 1.7 3.6
B0gTa B0tG3 1.7 3.6
B05Ga B0gTu 1.7 3.6
B05Gu B0gTu 1.7 3.6
B05Gg B0gTu 1.7 3.6
B05Gc B0gTu 1.7 3.6
B05Gt B0gTu 1.7 3.6
B05G3 B0gTu 1.7 3.6
B0aGa B0gTu 1.7 3.6
B0aGu B0gTu 1.7 3.6
B0aGg B0gTu 1.7 3.6
