#a1 a2 eps sig(A)
B0uAa CBH 2.2 3.6
B0uAu CBH 2.2 3.6
B0uAg CBH 2.2 3.6
B0uAc CBH 2.2 3.6
B0uAt CBH 2.2 3.6
B0uA3 CBH 2.2 3.6
B0gAa CBH 2.2 3.6
B0gAu CBH 2.2 3.6
B0gAg CBH 2.2 3.6
B0gAc CBH 2.2 3.6
B0gAt CBH 2.2 3.6
B0gA3 CBH 2.2 3.6
B0cAa CBH 2.2 3.6
B0cAu CBH 2.2 3.6
B0cAg CBH 2.2 3.6
B0cAc CBH 2.2 3.6
B0cAt CBH 2.2 3.6
B0cA3 CBH 2.2 3.6
B0tAa CBH 2.2 3.6
B0tAu CBH 2.2 3.6
B0tAg CBH 2.2 3.6
B0tAc CBH 2.2 3.6
B0tAt CBH 2.2 3.6
B0tA3 CBH 2.2 3.6
#B0C CBW 2.4 3.6
B05Ca CBW 2.4 3.6
B05Cu CBW 2.4 3.6
B05Cg CBW 2.4 3.6
B05Cc CBW 2.4 3.6
B05Ct CBW 2.4 3.6
B05C3 CBW 2.4 3.6
B0aCa CBW 2.4 3.6
B0aCu CBW 2.4 3.6
B0aCg CBW 2.4 3.6
B0aCc CBW 2.4 3.6
B0aCt CBW 2.4 3.6
B0aC3 CBW 2.4 3.6
B0uCa CBW 2.4 3.6
B0uCu CBW 2.4 3.6
B0uCg CBW 2.4 3.6
B0uCc CBW 2.4 3.6
B0uCt CBW 2.4 3.6
B0uC3 CBW 2.4 3.6
B0gCa CBW 2.4 3.6
B0gCu CBW 2.4 3.6
B0gCg CBW 2.4 3.6
B0gCc CBW 2.4 3.6
B0gCt CBW 2.4 3.6
B0gC3 CBW 2.4 3.6
B0cCa CBW 2.4 3.6
B0cCu CBW 2.4 3.6
B0cCg CBW 2.4 3.6
B0cCc CBW 2.4 3.6
B0cCt CBW 2.4 3.6
B0cC3 CBW 2.4 3.6
B0tCa CBW 2.4 3.6
B0tCu CBW 2.4 3.6
B0tCg CBW 2.4 3.6
B0tCc CBW 2.4 3.6
B0tCt CBW 2.4 3.6
B0tC3 CBW 2.4 3.6
#B0C CBY 1.4 3.6
B05Ca CBY 1.4 3.6
B05Cu CBY 1.4 3.6
B05Cg CBY 1.4 3.6
B05Cc CBY 1.4 3.6
B05Ct CBY 1.4 3.6
B05C3 CBY 1.4 3.6
B0aCa CBY 1.4 3.6
B0aCu CBY 1.4 3.6
B0aCg CBY 1.4 3.6
B0aCc CBY 1.4 3.6
B0aCt CBY 1.4 3.6
B0aC3 CBY 1.4 3.6
B0uCa CBY 1.4 3.6
B0uCu CBY 1.4 3.6
B0uCg CBY 1.4 3.6
B0uCc CBY 1.4 3.6
B0uCt CBY 1.4 3.6
B0uC3 CBY 1.4 3.6
B0gCa CBY 1.4 3.6
B0gCu CBY 1.4 3.6
B0gCg CBY 1.4 3.6
B0gCc CBY 1.4 3.6
B0gCt CBY 1.4 3.6
B0gC3 CBY 1.4 3.6
B0cCa CBY 1.4 3.6
B0cCu CBY 1.4 3.6
B0cCg CBY 1.4 3.6
B0cCc CBY 1.4 3.6
B0cCt CBY 1.4 3.6
B0cC3 CBY 1.4 3.6
B0tCa CBY 1.4 3.6
B0tCu CBY 1.4 3.6
B0tCg CBY 1.4 3.6
B0tCc CBY 1.4 3.6
B0tCt CBY 1.4 3.6
B0tC3 CBY 1.4 3.6
#B0C CBF 1.7 3.6
B05Ca CBF 1.7 3.6
B05Cu CBF 1.7 3.6
B05Cg CBF 1.7 3.6
B05Cc CBF 1.7 3.6
B05Ct CBF 1.7 3.6
B05C3 CBF 1.7 3.6
B0aCa CBF 1.7 3.6
B0aCu CBF 1.7 3.6
B0aCg CBF 1.7 3.6
B0aCc CBF 1.7 3.6
B0aCt CBF 1.7 3.6
B0aC3 CBF 1.7 3.6
B0uCa CBF 1.7 3.6
B0uCu CBF 1.7 3.6
B0uCg CBF 1.7 3.6
B0uCc CBF 1.7 3.6
B0uCt CBF 1.7 3.6
B0uC3 CBF 1.7 3.6
B0gCa CBF 1.7 3.6
B0gCu CBF 1.7 3.6
B0gCg CBF 1.7 3.6
B0gCc CBF 1.7 3.6
B0gCt CBF 1.7 3.6
B0gC3 CBF 1.7 3.6
B0cCa CBF 1.7 3.6
B0cCu CBF 1.7 3.6
B0cCg CBF 1.7 3.6
B0cCc CBF 1.7 3.6
B0cCt CBF 1.7 3.6
B0cC3 CBF 1.7 3.6
B0tCa CBF 1.7 3.6
B0tCu CBF 1.7 3.6
B0tCg CBF 1.7 3.6
B0tCc CBF 1.7 3.6
B0tCt CBF 1.7 3.6
B0tC3 CBF 1.7 3.6
#B0C CBH 1.4 3.6
B05Ca CBH 1.4 3.6
B05Cu CBH 1.4 3.6
B05Cg CBH 1.4 3.6
B05Cc CBH 1.4 3.6
B05Ct CBH 1.4 3.6
B05C3 CBH 1.4 3.6
B0aCa CBH 1.4 3.6
B0aCu CBH 1.4 3.6
B0aCg CBH 1.4 3.6
B0aCc CBH 1.4 3.6
B0aCt CBH 1.4 3.6
B0aC3 CBH 1.4 3.6
B0uCa CBH 1.4 3.6
B0uCu CBH 1.4 3.6
B0uCg CBH 1.4 3.6
B0uCc CBH 1.4 3.6
B0uCt CBH 1.4 3.6
B0uC3 CBH 1.4 3.6
B0gCa CBH 1.4 3.6
B0gCu CBH 1.4 3.6
B0gCg CBH 1.4 3.6
B0gCc CBH 1.4 3.6
B0gCt CBH 1.4 3.6
B0gC3 CBH 1.4 3.6
B0cCa CBH 1.4 3.6
B0cCu CBH 1.4 3.6
B0cCg CBH 1.4 3.6
B0cCc CBH 1.4 3.6
B0cCt CBH 1.4 3.6
B0cC3 CBH 1.4 3.6
B0tCa CBH 1.4 3.6
B0tCu CBH 1.4 3.6
B0tCg CBH 1.4 3.6
B0tCc CBH 1.4 3.6
B0tCt CBH 1.4 3.6
B0tC3 CBH 1.4 3.6
