#a1 a2 eps sig(A)
B0aAt S0aUu 2.00 10.00
B0aAt B0aUu 2.00  6.00
#S0aAt S0aUg 1.00 14.00
S0aAt B0aUg 1.00 10.00
B0aAt S0aUg 1.00 10.00
B0aAt B0aUg 1.00  6.00
#S0aAt S0aUc 1.00 14.00
S0aAt B0aUc 1.00 10.00
B0aAt S0aUc 1.00 10.00
B0aAt B0aUc 1.00  6.00
#S0aAt S0aUt 2.00 14.00
S0aAt B0aUt 2.00 10.00
B0aAt S0aUt 2.00 10.00
B0aAt B0aUt 2.00  6.00
#S0aAt S0aU3 1.00 14.00
S0aAt B0aU3 1.00 10.00
B0aAt S0aU3 1.00 10.00
B0aAt B0aU3 1.00  6.00
#S0aAt S0uUu 1.00 14.00
S0aAt B0uUu 1.00 10.00
B0aAt S0uUu 1.00 10.00
B0aAt B0uUu 1.00  6.00
#S0aAt S0uUt 1.00 14.00
S0aAt B0uUt 1.00 10.00
B0aAt S0uUt 1.00 10.00
B0aAt B0uUt 1.00  6.00
#S0aAt S0gUu 1.00 14.00
S0aAt B0gUu 1.00 10.00
B0aAt S0gUu 1.00 10.00
B0aAt B0gUu 1.00  6.00
#S0aAt S0gUt 1.00 14.00
S0aAt B0gUt 1.00 10.00
B0aAt S0gUt 1.00 10.00
B0aAt B0gUt 1.00  6.00
#S0aAt S0cUu 1.00 14.00
S0aAt B0cUu 1.00 10.00
B0aAt S0cUu 1.00 10.00
B0aAt B0cUu 1.00  6.00
#S0aAt S0cUt 1.00 14.00
S0aAt B0cUt 1.00 10.00
B0aAt S0cUt 1.00 10.00
B0aAt B0cUt 1.00  6.00
#S0aAt S0tUu 1.00 14.00
S0aAt B0tUu 1.00 10.00
B0aAt S0tUu 1.00 10.00
B0aAt B0tUu 1.00  6.00
#S0aAt S0tUt 1.00 14.00
S0aAt B0tUt 1.00 10.00
B0aAt S0tUt 1.00 10.00
B0aAt B0tUt 1.00  6.00
#S05Uu S0aA3 1.00 14.00
S05Uu B0aA3 1.00 10.00
B05Uu S0aA3 1.00 10.00
B05Uu B0aA3 1.00  6.00
#S05Ut S0aA3 1.00 14.00
S05Ut B0aA3 1.00 10.00
B05Ut S0aA3 1.00 10.00
B05Ut B0aA3 1.00  6.00
